id,indicator_id,province_id,indicator_value,year
,7,1700,94.97,2024
,7,1800,92.81,2024
,7,1900,96.8,2024
,7,2100,97.36,2024
,7,3100,96.31,2024
,7,3200,90.37,2024
,7,3300,91.36,2024
,7,3400,96.69,2024
,7,3500,92.48,2024
,7,3600,90.1,2024
,7,5100,98.76,2024
,7,5200,95.51,2024
,7,5300,93.68,2024
,7,6100,93.68,2024
,7,6200,91.48,2024
,7,6300,90.9,2024
,7,6400,95.81,2024
,7,6500,94.91,2024
,7,7100,91.6,2024
,7,7200,91.84,2024
,7,7300,90.92,2024
,7,7400,93.12,2024
,7,7500,91.32,2024
,7,7600,91.21,2024
,7,8100,95.01,2024
,7,8200,93.2,2024
,7,9100,95.01,2024
,7,9400,79.33,2024
,7,1001,92.5,2024
,8,1100,42.06,2024
,8,1200,77.04,2024
,8,1300,57.93,2024
,8,1400,80.85,2024
,8,1500,66.35,2024
,8,1600,73.01,2024
,8,1700,91.08,2024
,8,1800,86.33,2024
,8,1900,84.41,2024
,8,2100,94.48,2024
,8,3100,94.34,2024
,8,3200,61.65,2024
,8,3300,88.56,2024
,8,3400,90.07,2024
,8,3500,80.3,2024
,8,3600,65.24,2024
,8,5100,89.89,2024
,8,5200,77.04,2024
,8,5300,86.67,2024
,8,6100,94.43,2024
,8,6200,93.31,2024
,8,6300,85.11,2024
,8,6400,96.63,2024
,8,6500,96.77,2024
,8,7100,93.36,2024
,8,7200,88.63,2024
,8,7300,91.33,2024
,8,7400,97.21,2024
,8,7500,96.08,2024
,8,7600,84.07,2024
,8,8100,86.32,2024
,8,8200,83.07,2024
,8,9100,95.89,2024
,8,9400,86.52,2024
,8,1001,81.35,2024
,9,1100,65.28,2024
,9,1200,88.79,2024
,9,1300,76.3,2024
,9,1400,92.17,2024
,9,1500,76.97,2024
,9,1600,79.82,2024
,9,1700,92.47,2024
,9,1800,93.92,2024
,9,1900,92.09,2024
,9,2100,89.52,2024
,9,3100,93.89,2024
,9,3200,76.3,2024
,9,3300,95.8,2024
,9,3400,92.06,2024
,9,3500,87.34,2024
,9,3600,74.45,2024
,9,5100,91.77,2024
,9,5200,84.14,2024
,9,5300,91.6,2024
,9,6100,96.13,2024
,9,6200,98.12,2024
,9,6300,91.13,2024
,9,6400,97.25,2024
,9,6500,100,2024
,9,7100,92.62,2024
,9,7200,95.02,2024
,9,7300,91.17,2024
,9,7400,99.7,2024
,9,7500,98.8,2024
,9,7600,94.32,2024
,9,8100,92.5,2024
,9,8200,85.52,2024
,9,9100,97.02,2024
,9,9400,86.69,2024
,9,1001,86.1,2024
,10,1100,58.39,2024
,10,1200,89.08,2024
,10,1300,81.84,2024
,10,1400,95.17,2024
,10,1500,78.19,2024
,10,1600,79.47,2024
,10,1700,94.25,2024
,10,1800,95.37,2024
,10,1900,94.4,2024
,10,2100,100,2024
,10,3100,89.08,2024
,10,3200,71.4,2024
,10,3300,91.96,2024
,10,3400,96.94,2024
,10,3500,85.95,2024
,10,3600,73.61,2024
,10,5100,99.95,2024
,10,5200,73.4,2024
,10,5300,93.22,2024
,10,6100,97.37,2024
,10,6200,96.8,2024
,10,6300,92.27,2024
,10,6400,95.48,2024
,10,6500,99.02,2024
,10,7100,98.33,2024
,10,7200,95.05,2024
,10,7300,92.58,2024
,10,7400,90.13,2024
,10,7500,94.73,2024
,10,7600,93.83,2024
,10,8100,93.8,2024
,10,8200,81.25,2024
,10,9100,97.78,2024
,10,9400,91.63,2024
,10,1001,87.55,2024
,11,1100,76.39,2024
,11,1200,96.05,2024
,11,1300,88.66,2024
,11,1400,96.14,2024
,11,1500,90.75,2024
,11,1600,86.39,2024
,11,1700,96.27,2024
,11,1800,96.91,2024
,11,1900,94.5,2024
,11,2100,99.68,2024
,11,3100,98.89,2024
,11,3200,84.5,2024
,11,3300,94.18,2024
,11,3400,95.29,2024
,11,3500,91.63,2024
,11,3600,79.64,2024
,11,5100,99.29,2024
,11,5200,91.15,2024
,11,5300,96.09,2024
,11,6100,97.42,2024
