id,province_id,dimensions_id,description_dimensions,year
30,1500,2,Persentase Satuan Pendidikan di Jambi yang mempunyai guru yang mengajar muatan lokal bahasa daerah dan/atau seni budaya masih dibawah nilai nasional. Pemerintah Jambi perlu memprioritaskan program-program yang dapat mencegah punahnya bahasa daerah.,2020
31,1500,3,Nilai Jambi untuk beberapa indikator di dimensi ini masih sedikit dibawah angka nasional. Perlu adanya upaya pemerintah setempat dalam memberikan sosialisasi pemahaman pentingnya kerukunan umat beragama.,2020
32,1500,4,Persentase masyarakat yang menggunakan produk tradisional masih dibawah nilai nasional. Pemerintah Jambi perlu memprioritaskan program-program yang dapat mencegah punahnya budaya daerah.,2020
33,1500,5,Persentase rumah tangga yang menghadiri atau menyelenggarakan upacara adat masih cukup jauh dari angka nasional. Pemerintah Jambi perlu memberi perhatian lebih untuk menjaga kelestarian budaya.,2020
34,1500,6,Penduduk yang mengakses internet masih dibawah nilai Nasional. Pemerintah Jambi perlu lebih memperhatikan sarana dan prasaranan penunjang internet.,2020
35,1500,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Jambi masih dibawah nilai nasional, dari setiap 100 anggota perlemen laki-laki, hanya terdapat 17 anggota parlemen perempuan.",2020
36,1600,1,"Nilai Sumatera Selatan masih sedikit dibawah angka nasional, hanya 21 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
37,1600,2,Persentase penduduk penyandang disabilitas di Sumatra Selatan yang bersekolah masih sedikit di bawah nilai nasional. Perlu ada usaha lebih bagi pemerintah Sumatra Selatan untuk meningkatkan inklusivitas bagi masyarakat difabel.,2020
38,1600,3,"Hanya 31,32% penduduk yang mengikuti gotong royong. Pemerintah Sumatra Selatan perlu memprioritaskan program-program yang dapat meningkatkan partisipasi masyarkat.",2020
39,1600,4,"Nilai Sumatera Selatan Cukup tinggi di tiga indikator dimensi ini, tetapi persentase masyarakat yang menggunakan produk tradisional masih dibawah nilai nasional. Pemerintah Sumatera Selatan perlu memprioritaskan program-program yang dapat mencegah punahnya budaya daerah.",2020
40,1600,5,Persentase penduduk Sumatera Selatan yang aktif mengikuti kegiatan organisas dan memberikan saran pendapat masih di bawah nilai nasional. Pemerintah Sumatera Selatan perlu memprioritaskan program-program yang dapat meningkatkan masyarakat di kegiatan organisasi.,2020
41,1600,6,"Nilai Sumatera Selatan untuk semua indikator di dimensi ini masih dibawah angka nasional, Pemerintah Sumatera Selatan perlu memberi perhatian lebih untuk meningkatkan minat membaca masyarakat.",2020
42,1600,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Sumatra Selatan masih sedikit dibawah nilai nasional, dari setiap 100 anggota parlemen laki-laki, hanya terdapat 25 anggota parlemen perempuan.",2020
43,1700,1,"Nilai Bengkulu masih sedikit dibawah angka nasional, hanya 22 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
44,1700,2,Persentase penduduk penyandang disabilitas di Bengkulu yang bersekolah masih sedikit di bawah nilai nasional. Perlu ada usaha lebih bagi pemerintah Bengkulu untuk meningkatkan inklusivitas bagi masyarakat difabel.,2020
45,1700,3,"Toleransi masyarakat Bengkulu cukup baik, tiga indikator di dimensi ini memiliki nilai diatas nasional.",2020
46,1700,4,"Di dimensi Warisan Budaya ini banyak indilator Bengkulu yang memiliki nilai diatas nasional. Hanya saja Persentase benda, bangunan, struktur, dan situs cagar budaya yang telah ditetapkan terhadap total registrasi masih jauh dari target maksimal yang sudah ditetapkan.",2020
47,1700,5,Persentase rumah tangga yang menghadiri atau menyelenggarakan upacara adat masih jauh dibawah angka nasional. Pemerintah Bengkulu perlu memberi perhatian lebih untuk menjaga kelestarian budaya.,2020
48,1700,6,Penduduk yang mengakses internet masih dibawah nilai Nasional. Pemerintah Bengkulu perlu lebih memperhatikan sarana dan prasaranan penunjang internet.,2020
49,1700,7,"Rasio penduduk perempuan terhadap laki-laki yang memiliki ijazah minimal SM/Sederajat di Bengkulu sedikit dibawah nilai nasional, perlu ada usaha lebih bagi pemerintah Riau untuk meningkatkan kesetaraan gender di masyarakat.",2020
50,1800,1,"Nilai Lampung masih sedikit dibawah angka nasional, hanya 26 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
51,1800,2,Persentase penduduk penyandang disabilitas di Lampung yang bersekolah masih sedikit di bawah nilai nasional. Perlu ada usaha lebih bagi pemerintah Lampung untuk meningkatkan inklusivitas bagi masyarakat difabel.,2020
52,1800,3,"Hanya 33,62% penduduk yang mengikuti gotong royong. Pemerintah Lampung perlu memprioritaskan program-program yang dapat meningkatkan partisipasi masyarakat.",2020
53,1800,4,Persentase penduduk Lampung yang mengunjungi peninggalan sejarah/wardun masih cukup jauh dibawah angka nasional. Perlu ada usaha dari Pemerintah Lampung agar penduduknya tidak melupakan sejarah sendiri.,2020
54,1800,5,Persentase penduduk Lampung yang aktif mengikuti kegiatan organisas dan memberikan saran pendapat masih di bawah nilai nasional. Pemerintah Lampung perlu memprioritaskan program-program yang dapat meningkatkan masyarakat di kegiatan organisasi.,2020
55,1800,6,"Nilai Lampung untuk semua indikator di dimensi ini masih dibawah angka nasional, Pemerintah Lampung Selatan perlu memberi perhatian lebih untuk meningkatkan minat membaca masyarakat.",2020
56,1800,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Lampung masih sedikit dibawah nilai nasional, dari setiap 100 anggota parlemen laki-laki, hanya terdapat 23 anggota parlemen perempuan.",2020
57,1900,1,"Nilai Kepulauan Bangka Belitung masih sedikit dibawah angka nasional, hanya 23 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
58,1900,2,Persentase penduduk penyandang disabilitas di Kepulauan Bangka Belitung yang bersekolah masih sedikit di bawah nilai nasional. Perlu ada usaha lebih bagi pemerintah Lampung untuk meningkatkan inklusivitas bagi masyarakat difabel.,2020
59,1900,3,"Hanya 25,35% penduduk yang mengikuti gotong royong. Pemerintah Kepulauan Bangka Belitung perlu memprioritaskan program-program yang dapat meningkatkan partisipasi masyarakat.",2020
60,1900,4,Persentase masyarakat yang menggunakan produk tradisional masih dibawah nilai nasional. Pemerintah Kepulauan Bangka Belitung perlu memprioritaskan program-program yang dapat mencegah punahnya budaya daerah.,2020
61,1900,5,Persentase penduduk yang aktif mengikuti kegiatan organisas dan memberikan saran pendapat masih di bawah nilai nasional. Pemerintah Kepulauan Bangka Belitung perlu memprioritaskan program-program yang dapat meningkatkan masyarakat di kegiatan organisasi.,2020
62,1900,6,Penduduk yang mengakses internet masih dibawah nilai Nasional. Pemerintah Kepulauan Bangka Belitung perlu lebih memperhatikan sarana dan prasaranan penunjang internet.,2020
63,1900,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Kepulauan Bangka Belitung masih dibawah nilai nasional, dari setiap 100 anggota perlemen laki-laki, hanya terdapat 4 anggota parlemen perempuan.",2020
64,2100,1,"Nilai Kepulauan Riau masih sedikit dibawah angka nasional, hanya 23 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
65,2100,2,"Di dimensi ini, hampir semua indikator Kepulauan Riau memiliki nilai diatas angka nasional.",2020
66,2100,3,Di beberapa indikator yang berhubungan dengan keamanan masyarakat masih di bawah angka nasional. Pemerintah Kepulauan Riau perlu memprioritaskan program-program yang dapat meningkatkan rasa aman warganya.,2020
67,2100,4,Persentase penduduk yang menggunakan bahasa daerah  dalam pergaulan sehari-hari cukup jauh dibandingkan dengan nilai nasional. Pemerintah Kepulauan Riau perlu memprioritaskan program-program yang dapat mencegah punahnya bahasa daerah.,2020
68,2100,5,Persentase rumah tangga yang menghadiri atau menyelenggarakan upacara adat masih dibawah angka nasional. Pemerintah Kepulauan Riau perlu memberi perhatian lebih untuk menjaga kelestarian budaya.,2020
69,2100,6,"Di dimensi ini, semua indikator Kepulauan Riau memiliki nilai diatas angka nasional.",2020
70,2100,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Kepulauan Riau masih dibawah nilai nasional, dari setiap 100 anggota perlemen laki-laki, hanya terdapat 9 anggota parlemen perempuan.",2020
71,3100,1,"Nilai DKI Jakarta masih dibawah angka nasional, hanya 19 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
72,3100,2,"Di dimensi ini, semua indikator DKI Jakarta memiliki nilai diatas angka nasional.",2020
73,3100,3,"Persentase masyarakat yang merasa aman di lingkungan tempat tinggal masih dibawah angka nasional,  Pemerintah DKI Jakarta perlu memprioritaskan program-program yang dapat meningkatkan keamanan warganya.",2020
74,3100,4,Persentase penduduk yang menggunakan bahasa daerah di rumah atau dalam pergaulan sehari-hari sangat jauh dibawah angka nasional. Pemerintah DKI Jakarta perlu memprioritaskan program-program yang dapat mencegah punahnya bahasa daerah.,2020
75,3100,5,Persentase rumah tangga yang menghadiri atau menyelenggarakan upacara adat masih dibawah angka nasional. Pemerintah DKI Jakarta perlu memberi perhatian lebih untuk menjaga kelestarian budaya.,2020
76,3100,6,"Di dimensi ini, semua indikator DKI Jakarta memiliki nilai diatas angka nasional.",2020
77,3100,7,"Rasio Tingkat partisipasi angkatan kerja usia 15 tahun ke atas perempuan terhadap laki-laki masih sedikit dibawah angka nasional, perlu ada usaha lebih bagi pemerintah DKI Jakarta untuk meningkatkan kesetaraan gender di masyarakat.",2020
78,3200,1,"Nilai Jawa Barat diatas angka nasional, terdapat 27 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni. Bahkan diproyeksikan naik menjadi 53 pada tahun 2024 mendatang.",2020
79,3200,2,Persentase Satuan Pendidikan yang mempunyai guru yang mengajar muatan lokal bahasa daerah dan/atau seni budaya masih sedikit dibawah angka naisonal. Pemerintah Jawa Barat perlu meningkatkan program-program yang dapat mencegah punahnya bahasa daerah.,2020
80,3200,3,Nilai Jawa Barat untuk beberapa indikator di dimensi inisedikit dibawah angka nasional. Perlu adanya upaya pemerintah Jawa Barat dalam memberikan sosialisasi pemahaman pentingnya kerukunan umat beragama.,2020
81,3200,4,Persentase penduduk yang menonton secara langsung pertunjukkan seni masih dibawah nilai nasional. Perlu ada usaha dari Pemerintah Jawa Barat agar penduduknya tidak melupakan budaya sendiri.,2020
82,3200,5,Persentase rumah tangga yang menghadiri atau menyelenggarakan upacara adat masih dibawah angka nasional. Pemerintah Jawa Barat perlu memberi perhatian lebih untuk menjaga kelestarian budaya.,2020
83,3200,6,Persentase penduduk usia 10 tahun ke atas yang mengunjungi perpustakaan/memanfaatkan taman bacaan masyarakat masih sedikit dibawah angka nasional.Pemerintah Jawa Barat perlu memberi perhatian lebih untuk meningkatkan minat membaca masyarakat.,2020
