indicator_id,province_id,indicator_value,year
8,6200,88.91,2022
8,6300,49.98,2022
8,6400,86.71,2022
8,6500,94.56,2022
8,7100,84.33,2022
8,7200,73.60,2022
8,7300,61.83,2022
8,7400,68.74,2022
8,7500,48.96,2022
8,7600,66.82,2022
8,8100,80.02,2022
8,8200,67.24,2022
8,9100,84.80,2022
8,9400,68.12,2022
8,1001,57.40,2022
9,1100,57.27,2022
9,1200,81.22,2022
9,1300,60.71,2022
9,1400,82.92,2022
9,1500,80.04,2022
9,1600,73.45,2022
9,1700,84.54,2022
9,1800,80.88,2022
9,1900,76.68,2022
9,2100,85.94,2022
9,3100,85.50,2022
9,3200,62.39,2022
9,3300,65.12,2022
9,3400,76.87,2022
9,3500,61.98,2022
9,3600,53.67,2022
9,5100,74.50,2022
9,5200,62.17,2022
9,5300,88.23,2022
9,6100,89.09,2022
9,6200,91.67,2022
9,6300,81.96,2022
9,6400,93.86,2022
9,6500,96.98,2022
9,7100,79.02,2022
9,7200,74.98,2022
9,7300,77.50,2022
9,7400,86.80,2022
9,7500,56.47,2022
9,7600,81.28,2022
9,8100,80.01,2022
9,8200,76.52,2022
9,9100,86.58,2022
9,9400,67.26,2022
9,1001,69.98,2022
10,1100,42.46,2022
10,1200,89.75,2022
10,1300,62.50,2022
10,1400,87.05,2022
10,1500,81.51,2022
10,1600,73.43,2022
10,1700,87.14,2022
10,1800,85.24,2022
10,1900,87.95,2022
10,2100,94.79,2022
10,3100,93.33,2022
10,3200,71.51,2022
10,3300,82.62,2022
10,3400,94.20,2022
10,3500,76.10,2022
10,3600,67.18,2022
10,5100,92.92,2022
10,5200,67.98,2022
10,5300,97.48,2022
10,6100,98.27,2022
10,6200,96.18,2022
10,6300,72.57,2022
10,6400,95.82,2022
10,6500,94.79,2022
10,7100,95.70,2022
10,7200,91.39,2022
10,7300,83.71,2022
10,7400,85.95,2022
10,7500,64.93,2022
10,7600,85.60,2022
10,8100,94.10,2022
10,8200,81.81,2022
10,9100,97.35,2022
10,9400,91.94,2022
10,1001,79.66,2022
11,1100,74.18,2022
11,1200,91.85,2022
11,1300,84.22,2022
11,1400,92.30,2022
11,1500,89.98,2022
11,1600,84.69,2022
11,1700,92.99,2022
11,1800,91.46,2022
11,1900,91.53,2022
11,2100,96.37,2022
11,3100,95.82,2022
11,3200,82.65,2022
11,3300,84.06,2022
11,3400,90.75,2022
11,3500,78.66,2022
11,3600,76.36,2022
11,5100,92.99,2022
